"title","company_profile","description","requirements","benefits","fraudulent"
"Machine Learning Engineer","AI Labs India is an applied ML research company. Find us on LinkedIn with 150+ employees.","We are looking for an ML Engineer to build and deploy production ML models. You will work on NLP and computer vision projects. Formal offer letter and IP agreement on joining.","2+ years ML engineering experience. Python, TensorFlow or PyTorch, MLflow knowledge. Understanding of model deployment.","CTC 15-25 LPA, PF, flexible work, ESOPs.","0"
"Legal Assistant","LegalEase Advocates is a registered law firm in Chennai with 20+ lawyers.","We are hiring a Legal Assistant to draft contracts, conduct legal research, and manage case files. Background verification and bar council records checked. 5-day work week.","LLB or LLM required. 1-2 years legal experience preferred. Good drafting and research skills.","CTC 3-5 LPA, PF, paid leave.","0"
"Supply Chain Analyst","LogiTech India Pvt Ltd is a logistics and supply chain company serving FMCG clients.","We are hiring a Supply Chain Analyst to track inventory, optimise procurement, and analyse logistics costs. Formal offer letter with performance review after 6 months.","Graduate in Operations, Logistics, or related field. 1+ years supply chain experience. Excel and ERP knowledge.","CTC 4-6 LPA, PF, ESIC, fuel reimbursement.","0"
"Cybersecurity Analyst","SecureNet India provides managed security services to enterprises. CERT-IN empanelled.","We are hiring a Cybersecurity Analyst to monitor SIEM alerts, perform vulnerability assessments, and respond to incidents. Two technical rounds and one HR round. Background verification mandatory.","1-2 years cybersecurity experience. CEH or CompTIA Security+ preferred. Knowledge of SIEM tools and incident response.","CTC 6-9 LPA, PF, health insurance, certification sponsorship.","0"
"Content Marketing Manager","ContentEdge Pvt Ltd is a B2B content agency working with tech companies globally.","We are hiring a Content Marketing Manager to lead content strategy, manage a team of writers, and drive organic growth. Formal offer letter. PF from day 1. 5-day work week.","3+ years content marketing experience. SEO and content analytics knowledge. Strong English writing and editing skills.","CTC 7-10 LPA, PF, health insurance, remote flexibility.","0"
"Warehouse Operations Supervisor","StoreLink India Pvt Ltd operates fulfilment centres across 10 cities.","We are hiring a Warehouse Supervisor to manage daily operations, lead a team of 20+ warehouse staff, and ensure SLA compliance. Background verification mandatory. PF and ESIC from day 1.","Graduate with 2+ years warehouse experience. Knowledge of inventory management systems. Good leadership skills.","CTC 4-6 LPA, PF, ESIC, performance bonus.","0"
"Project Manager","BuildSmart Technologies is an enterprise project management software company.","We are hiring a Project Manager to lead software development projects, coordinate cross-functional teams, and manage stakeholder communication. Structured 3-round interview process. Offer letter within 5 working days.","4+ years project management experience. PMP certification preferred. Agile or Scrum knowledge required.","CTC 12-18 LPA, PF, health insurance, annual bonus.","0"
"Product Designer","DesignFirst Studio creates digital products for funded startups. Find us on Glassdoor.","Join our product design team to design user interfaces and experiences for web and mobile apps. Portfolio review, design challenge, and HR round. Formal offer letter and IP agreement.","2+ years product design experience. Proficiency in Figma. Understanding of user research methodologies. Strong portfolio required.","CTC 7-12 LPA, flexible hours, ESOPs.","0"
"Data Science Intern","DataFirst Analytics is a data science consulting firm working with BFSI and retail clients.","We are offering a 6-month Data Science internship. You will work on real client projects involving machine learning, data cleaning, and visualisation. Weekly check-ins with senior data scientists.","Pursuing M.Sc Statistics, B.Tech CS, or MBA Analytics. Python and SQL knowledge. Familiarity with pandas, NumPy, and scikit-learn.","Stipend Rs 15000-18000/month, certificate, LOR, PPO opportunity.","0"
"Technical Support Engineer","TechDesk Solutions provides IT support services to enterprises. ISO 27001 certified.","We are hiring a Technical Support Engineer to resolve hardware and software issues, manage ticketing systems, and provide remote support. Background verification and drug test before joining.","Graduate with IT knowledge. 0-1 years experience. Knowledge of Windows, networking, and ticketing tools like Jira or ServiceNow.","CTC 3-4.5 LPA, PF, ESIC, shift allowance.","0"
"Embedded Systems Engineer","RoboTech India Pvt Ltd builds industrial automation systems for manufacturing plants.","We are hiring an Embedded Systems Engineer to write firmware in C for microcontrollers, debug hardware issues, and work with RTOS environments. Three technical interview rounds.","2+ years embedded C experience. Knowledge of ARM Cortex, UART, SPI, I2C protocols. RTOS experience preferred.","CTC 8-12 LPA, PF, health insurance.","0"
"HR Business Partner","PeoplePlus HR Consulting works with 200+ SMEs on HR strategy and compliance.","We are looking for an HR Business Partner to align HR strategy with business goals, manage employee lifecycle, and ensure compliance with labour laws. Formal offer letter within 3 working days.","MBA HR or equivalent. 3+ years HRBP experience. Knowledge of labour law and HRMS tools.","CTC 7-10 LPA, PF, health insurance, learning budget.","0"
"Financial Risk Analyst","RiskIQ Analytics provides risk management consulting to banks and NBFCs.","We are hiring a Financial Risk Analyst to build risk models, perform stress tests, and prepare regulatory reports. Two technical rounds plus case study presentation.","CA or MBA Finance with 2+ years risk management experience. Knowledge of Basel norms and credit risk models. Advanced Excel and R or Python skills.","CTC 8-12 LPA, PF, health insurance.","0"
"Accountant","FinServe Advisory Pvt Ltd provides accounting and tax services to 300+ SME clients.","We are hiring an Accountant to manage bookkeeping, prepare financial statements, file GST returns, and support audit preparation. Background verification required. PF from day 1.","B.Com or M.Com. CA inter preferred. 1-2 years accounting experience. Tally ERP and GST knowledge required.","CTC 3-5 LPA, PF, ESIC, annual bonus.","0"
"Manufacturing Engineer","PrecisionParts India Pvt Ltd manufactures automotive components for OEMs.","We are hiring a Manufacturing Engineer to optimise production processes, reduce wastage, and ensure quality standards. Background verification and police clearance required.","B.E. Mechanical or Production Engineering. 1-2 years manufacturing experience. Knowledge of lean manufacturing and Six Sigma preferred.","CTC 4-6 LPA, PF, ESIC, transport allowance.","0"
"Civil Engineer Intern","BuildCore Engineering Pvt Ltd provides structural and civil engineering services.","We are offering a 6-month paid internship for Civil Engineering students. You will assist in site supervision, prepare drawings in AutoCAD, and support quantity estimation. Formal stipend agreement provided.","Pursuing B.E. Civil Engineering. AutoCAD knowledge. Willingness to work on site.","Stipend Rs 8000-10000/month, certificate, LOR.","0"
"School Teacher — Primary","BrightMinds International School has 1200+ students and 80 faculty members.","We are hiring a Primary School Teacher for grades 1-5. Responsibilities include lesson planning, conducting classes, and parent-teacher meetings. Background verification and police clearance mandatory. PF from day 1.","B.Ed or D.Ed required. 1+ years teaching experience. Strong communication and classroom management skills.","CTC 3-5 LPA, PF, ESIC, school timing 8am-3pm.","0"
"iOS Developer","SwiftLab India builds iOS apps for consumer and enterprise clients. Find us on LinkedIn.","We are hiring an iOS Developer to build and maintain iPhone and iPad applications using Swift. You will own features end to end and participate in App Store releases. Background verification required.","2+ years iOS development with Swift. Knowledge of UIKit, SwiftUI, and REST API integration. App Store deployment experience.","CTC 8-14 LPA, PF, flexible hours.","0"
"Procurement Executive","ManufactureHub India Pvt Ltd is a machinery manufacturer with 300+ employees.","We are hiring a Procurement Executive to source raw materials, negotiate with vendors, and manage purchase orders. Background verification required. ESIC and PF from day 1.","Graduate with 1-2 years procurement experience. Knowledge of SAP or Oracle ERP preferred. Good negotiation skills.","CTC 4-6 LPA, PF, ESIC, travel allowance.","0"
"Video Editor","FrameWorks Studio is a video production company with YouTube channels having 10M+ subscribers.","We are hiring a Video Editor to edit content videos, create reels, and manage our YouTube pipeline. Portfolio of edited videos required. Background check conducted.","1-2 years video editing experience. Proficiency in Premiere Pro or DaVinci Resolve. Motion graphics knowledge is a plus.","CTC 4-7 LPA, PF, creative work environment.","0"
"Pharmacovigilance Associate","PharmaGuard India provides pharmacovigilance services to global pharma companies.","We are hiring a Pharmacovigilance Associate to process adverse event reports, conduct literature searches, and maintain safety databases. Background verification required.","B.Pharm or M.Pharm. 0-1 years PV experience. Knowledge of MedDRA and E2B guidelines.","CTC 4-6 LPA, PF, health insurance.","0"
"SEO Specialist","RankBoost Digital is a Hyderabad-based digital marketing agency serving 80+ clients.","We are hiring an SEO Specialist to optimise client websites, conduct keyword research, build backlinks, and prepare monthly reports. Formal offer letter issued on joining. 5-day work week.","1-2 years SEO experience. Proficiency in Google Search Console, Ahrefs, or SEMrush. Good English writing skills.","CTC 3-5 LPA, PF, WFH flexibility.","0"
"Electrical Engineer","PowerGrid Solutions Pvt Ltd provides electrical engineering services to infrastructure projects.","We are hiring an Electrical Engineer to design electrical systems, review drawings, and supervise site installations. Background verification and police clearance required. PF from day 1.","B.E. Electrical Engineering. 0-2 years experience. Knowledge of AutoCAD Electrical. Valid electrical supervisor licence preferred.","CTC 4-6 LPA, PF, ESIC, site allowance.","0"
"E-commerce Executive","ShopEase India is a D2C e-commerce brand with 50+ products listed on Amazon and Flipkart.","We are hiring an E-commerce Executive to manage product listings, coordinate with logistics partners, and analyse sales data. Probation period of 3 months with performance evaluation.","1-2 years e-commerce experience. Knowledge of Amazon Seller Central or Flipkart Seller Hub. Good Excel skills.","CTC 3-5 LPA, PF, annual bonus.","0"
"Online Tutor — Part Time","EduBridge Online Education connects tutors with students across India.","We are hiring part-time online tutors for Maths, Science, and English for grades 6-10. Payment is per session. Background check required. You will teach via our platform — no registration fee needed. Formal tutor agreement provided.","Graduation in relevant subject. Good communication skills. Prior tutoring experience preferred.","Rs 300-500 per hour session. Flexible schedule.","0"
"Supply Chain Manager","GreenChain Logistics Pvt Ltd provides supply chain management services to FMCG companies.","We are hiring a Supply Chain Manager to oversee end-to-end logistics, manage vendor relationships, and optimise cost. Background verification required. PF and gratuity from day 1.","5+ years supply chain experience. MBA Operations preferred. Knowledge of SAP SCM and logistics platforms.","CTC 12-18 LPA, PF, health insurance, annual bonus.","0"
"React Native Developer","MobileFirst India builds cross-platform mobile apps for funded startups.","We are hiring a React Native Developer to build iOS and Android applications. You will work in a product team and own feature delivery end to end. Formal offer letter and ESOP plan.","2+ years React Native experience. REST API integration. Knowledge of Redux and navigation libraries.","CTC 8-14 LPA, PF, ESOPs, WFH flexibility.","0"
"Tax Consultant","IndiaFiling Tax Advisory provides tax filing and compliance services to individuals and businesses.","We are hiring a Tax Consultant to handle ITR filing, GST compliance, and tax planning for clients. Background verification required. PF from day 1.","CA, CA inter, or B.Com with tax knowledge. 0-2 years tax consulting experience. Knowledge of income tax portal and GST portal.","CTC 3-5 LPA, PF, performance incentives.","0"
"Medical Representative","LifeScience Pharma Pvt Ltd is a Mumbai-based pharmaceutical company with 500+ products.","We are hiring a Medical Representative to promote our pharmaceutical products to doctors and hospitals in your territory. Company vehicle provided. PF and ESIC from day 1.","B.Sc, B.Pharm, or any science graduate. 0-2 years pharma sales experience. Good communication and territory management.","CTC 3-5 LPA, PF, ESIC, fuel allowance, vehicle.","0"
"Full Stack Developer","WebSphere India Pvt Ltd builds digital products for startups. Internshala company profile available.","We are hiring a Full Stack Developer to build web applications using React and Node.js. You will work on both frontend and backend and participate in product planning. Background verification before joining.","2+ years experience with React, Node.js, and PostgreSQL. Understanding of REST APIs and Git.","CTC 8-14 LPA, PF, flexible hours, team outings.","0"
"Pharmacist","HealthFirst Pharmacy operates 25 retail pharmacies across Karnataka.","We are hiring a Pharmacist to dispense medications, counsel patients, and manage pharmacy inventory. Drug inspector licence check conducted before joining. PF from day 1.","D.Pharm or B.Pharm. State pharmacy licence required. 0-2 years retail pharmacy experience.","CTC 2.5-4 LPA, PF, ESIC.","0"
"Cyber Security Intern","InfoSec Academy India is a cybersecurity training and consulting firm.","We are offering a 3-month Cybersecurity internship. You will work on vulnerability assessments, learn SIEM tools, and assist in writing security reports. CEH preparation support provided. Formal internship agreement signed.","Pursuing B.Tech CS, IT, or Ethical Hacking course. Basic networking knowledge. Interest in cybersecurity.","Stipend Rs 8000/month, certificate, LOR, CEH study material.","0"
"Mechanical Design Engineer","AutoForm Engineering India Pvt Ltd designs automotive body parts for OEM clients.","We are hiring a Mechanical Design Engineer to create 3D models in CATIA, perform FEA simulations, and coordinate with the manufacturing team. Three interview rounds. Offer letter within 5 working days.","B.E. Mechanical Engineering. Knowledge of CATIA V5 or SolidWorks. 0-2 years design experience. FEA knowledge is a plus.","CTC 5-8 LPA, PF, health insurance.","0"
